TITLE,PRICE,RATING
"Samsung Galaxy A10s (Black, 32 GB)","8,499",4.4
"Samsung Galaxy M30s (Black, 64 GB)","14,990",4.4
"Samsung Galaxy A10s (Black, 32 GB)","9,499",4.3
"Samsung Galaxy A8 Plus (Gold, 64 GB)","16,998",4.2
Samsung Guru FM Plus,"1,500",4.2
"Samsung Galaxy A10s (Blue, 32 GB)","9,499",4.3
"Samsung Galaxy M30s (Blue, 64 GB)","14,216",4.4
"Samsung Galaxy A50 (Blue, 64 GB)","14,999",4.3
"Samsung Galaxy S10 Lite (Prism Black, 128 GB)","39,999",4.5
"Samsung Galaxy A30 (Black, 64 GB)","13,990",4.4
"Samsung Galaxy M30 (Black, 32 GB)","10,980",4.4
"Samsung Galaxy S9 Plus (Midnight Black, 64 GB)","29,999",4.5
"Samsung GALAXY A50 (White, 64 GB)","17,999",4.4
"Samsung Galaxy A50 (Black, 64 GB)","14,999",4.3
"Samsung Galaxy A50s (Prism Crush Black, 128 GB)","17,499",4.3
"Samsung Galaxy S10 Lite (Prism Blue, 128 GB)","39,999",4.5
"Samsung Galaxy A30s (Prism Crush Violet, 128 GB)","15,999",4.3
"Samsung Galaxy A50s (Prism Crush White, 128 GB)","17,499",4.3
"Samsung Galaxy A10 (Blue, 32 GB)","7,990",4.3
"Samsung Galaxy M10S (Stainless Black, 32 GB)","9,988",4.4
"Samsung Galaxy M30 (Blue, 32 GB)","10,839",4.4
"Samsung Galaxy S10 Lite (Prism White, 128 GB)","39,999",4.5
"Samsung Galaxy M30s (Black, 64 GB)","14,140",4.4
"Samsung Galaxy A50s (Prism Crush Violet, 128 GB)","17,499",4.3
